"carid","vehicle","year","msrp","accelrate","mpg","mpgmpge","carclass","carclass_id"
19,"Civic",2005,18236.33,8.26,41,41,"C",1
68,"Chevrolet Volt",2010,42924.35,10.78,35,93,"C",1
138,"CT 200h",2013,32050,10.31,42,42,"C",1
116,"C-Max FWD",2013,25200,12.35,43,43,"L",2
84,"Prius V",2011,27272.28,9.51,32.93,32.93,"M",3
39,"Altima",2008,18675.63,13.7,34,34,"M",3
126,"Regal",2013,29015,12.2,29,29,"M",3
145,"M35h",2013,54750,19.61,29,29,"M",3
105,"MKZ FWD",2012,34858.84,11.49,39,39,"M",3
8,"Alphard",2003,38084.77,8.33,40.46,40.46,"MV",4
22,"Silverado 15 2WD",2005,32647.26,11.11,17,17,"PT",5
57,"Touareg",2010,64198.95,15.38,28.7,28.7,"SUV",6
18,"Insight",2005,19387.76,9.71,52,52,"TS",7
